"","Rank","Username","Score","Country","Accepted","Partial","Failed"
"1",1,"penguin133",106662.86,"Singapore",1051,31,11
"2",2,"TheRaptor",97972.7,"Singapore",968,34,19
"3",3,"ryangohca",95555,"Singapore",953,9,3
"4",4,"syy",89497,"Singapore",893,6,5
"5",5,"errorgorn",84767,"Singapore",835,28,4
"6",6,"PlayVoltz",82350,"Singapore",820,9,10
"7",7,"shoryu386",74877.69,"Singapore",719,85,30
"8",8,"LCJLY",70445,"Singapore",700,15,8
"9",9,"chenweilian",69894.19,"Singapore",687,35,10
"10",10,"bribritt",69615.48,"Singapore",678,46,24
"11",11,"siewjh",68142,"Singapore",679,11,4
"12",12,"mofumofu",67667.29,"Singapore",673,7,5
"13",13,"hmm",65398,"Singapore",643,27,6
"14",14,"AlphanumericUsername",63780.6,"Singapore",635,20,13
"15",15,"blackscreen1",60810.11,"Singapore",603,20,11
"16",16,"haydendoo",60508,"Singapore",603,13,23
"17",17,"dsyz",59779.03,"Singapore",582,60,26
"18",18,"jeongwonho64",59726.5,"Singapore",595,14,10
"19",19,"Pan",58510,"Singapore",578,20,14
"20",20,"username",56644.49,"Singapore",555,26,3
"21",21,"Sans12345",55643.31,"Singapore",552,15,10
"22",22,"kxd",53969.92,"Singapore",530,49,18
"23",23,"chicken",52234.12,"Singapore",514,28,26
"24",24,"IWKR",51960.7,"Singapore",513,22,12
"25",25,"jamessng",51752.67,"Singapore",512,16,1
"26",26,"Xiaoyang",49829.43,"Singapore",474,81,1
"27",27,"beepbeepsheep",49230.12,"Singapore",485,30,15
"28",28,"jiahng",48959.56,"Singapore",482,18,12
"29",29,"pavement",48705.34,"Singapore",480,20,13
"30",30,"zaneyu",47692,"Singapore",464,34,6
"31",31,"dacashew",47360,"Singapore",469,16,13
"32",32,"bron",46562,"Singapore",453,37,12
"33",33,"reporter",46376.33,"Singapore",391,144,38
"34",34,"WH8",46324.03,"Singapore",451,36,18
"35",35,"zyq69",45913,"Singapore",455,16,17
"36",36,"Tyx2019",45870.68,"Singapore",451,27,36
"37",37,"user123",45645.09,"Singapore",448,29,15
"38",38,"kahchun",45125,"Singapore",444,27,19
"39",39,"ThePwo",43007,"Singapore",419,30,17
"40",40,"JustAWallaby",42846.22,"Singapore",427,5,2
"41",41,"Ywq06",42601.89,"Singapore",416,29,13
"42",42,"zixuan",42069,"Singapore",418,9,0
"43",43,"Josh28acc2",41787,"Singapore",413,18,5
"44",44,"Potato3218",40338.36,"Singapore",390,56,29
"45",45,"Reverberate",39943,"Singapore",398,6,13
"46",46,"bobthebill1",39646.02,"Singapore",388,24,14
"47",47,"kym",39207,"Singapore",378,33,13
"48",48,"itsLQ",38362,"Singapore",379,15,10
"49",49,"hpesoj",37950.16,"Singapore",369,38,28
"50",50,"xp",37663,"Singapore",369,24,11
"51",51,"Halogen",37647.7,"Singapore",366,36,16
"52",52,"dzuizz",37448.75,"Singapore",366,33,20
"53",53,"eulerleonhardfan",36948.15,"Singapore",365,12,15
"54",54,"veg",36923.14,"Singapore",365,16,8
"55",55,"Ok",35951.83,"Singapore",355,15,13
"56",56,"joelau",35749.82,"Singapore",346,40,0
"57",57,"AJR",35102.89,"Singapore",346,20,23
"58",58,"hht",34772.69,"Singapore",343,13,7
"59",59,"Josh28",34655,"Singapore",345,9,8
"60",60,"YeoBL20",34248.02,"Singapore",335,27,17
"61",61,"bz",33883,"Singapore",337,6,5
"62",62,"jamestan",33323.01,"Singapore",325,26,14
"63",63,"huangqr",32728,"Singapore",323,13,8
"64",64,"YSH2020",32410.48,"Singapore",314,28,32
"65",65,"Craftless",31739.42,"Singapore",304,50,15
"66",66,"gghx",31334,"Singapore",308,20,19
"67",67,"maomao90",30999.25,"Singapore",303,25,14
"68",68,"leyi",30621.09,"Singapore",293,44,3
"69",69,"Jinxuan",30365,"Singapore",296,27,8
"70",70,"nianhe",28717,"Singapore",281,26,14
"71",71,"Celenium",28230.5,"Singapore",277,19,37
"72",72,"fyss006",28218,"Singapore",277,21,7
"73",73,"zengminghao",28194.45,"Singapore",271,31,1
"74",74,"Hhw48",27845,"Singapore",269,43,19
"75",75,"origami100",27767,"Singapore",273,10,13
"76",76,"zyh255",26475.01,"Singapore",258,26,15
"77",77,"oolimry",26356.18,"Singapore",246,39,28
"78",78,"Deadeye",26058,"Singapore",256,16,20
"79",79,"ZivTheONe",25878,"Singapore",254,13,7
"80",80,"myrcella",25049,"Singapore",248,11,4
"81",81,"ChickenCoder",24541.83,"Singapore",244,2,3
"82",82,"geometric",24421.47,"Singapore",241,12,12
"83",83,"Dolphy",24301.85,"Singapore",235,20,3
"84",84,"wongyikai",23835,"Singapore",234,14,5
"85",85,"blue",23541.01,"India",231,11,6
"86",86,"zhougz",23458,"Singapore",232,11,8
"87",87,"wangy412",22718.42,"Singapore",224,11,7
"88",88,"ARock",22430,"Singapore",217,23,14
"89",89,"Kiameimon",22375,"Singapore",220,17,4
"90",90,"wneedywelon",22245,"Singapore",221,4,1
"91",91,"jamielim",21954,"Singapore",218,2,18
"92",92,"RandomPerson",21856.99,"Singapore",213,18,16
"93",93,"elainagrey",21443.71,"Singapore",207,25,13
"94",94,"0rang3",21376.3,"Singapore",204,23,23
"95",95,"Ziwyy",21212.01,"Singapore",204,22,13
"96",96,"cstuart",20952,"Singapore",207,9,6
"97",97,"ritulkrsingh",20900,"India",209,0,2
"98",98,"back2square1",20876,"Singapore",201,35,16
"99",99,"runawaywithme",20850,"Singapore",201,22,27
"100",100,"zyh571",20723,"Singapore",206,6,10
"101",101,"Wenkai",20673.59,"Singapore",205,4,9
"102",102,"vs358",20197,"Singapore",193,31,13
"103",103,"iamnumber4",19366,"Singapore",193,4,6
"104",104,"caffeine",19207,"Singapore",191,2,3
"105",105,"Alloy",19118.53,"Singapore",185,23,30
"106",106,"JIZHE",19091,"Singapore",188,10,6
"107",107,"tux",19082.08,"Singapore",186,24,19
"108",108,"NeeNawAmbulance",18646,"Singapore",185,11,12
"109",109,"Elnathan",18639,"Singapore",177,35,22
"110",110,"grapecoder",18626,"Singapore",184,5,2
"111",111,"Max",18234.01,"Singapore",177,24,23
"112",112,"socho",18194,"Singapore",180,5,4
"113",113,"Hijackedsoul",18184,"Singapore",178,14,19
"114",114,"PoTheSloth",18054.5,"Singapore",168,52,62
"115",115,"Gladius3482",17974.22,"Singapore",171,37,32
"116",116,"TheGhostKing",17817.54,"Singapore",170,22,9
"117",117,"papaoutai",17673,"Singapore",175,4,4
"118",118,"louisleehi",17525.12,"Singapore",169,15,25
"119",119,"pIaceholder",17407,"Singapore",170,14,16
"120",120,"yanganyi",17380,"Singapore",171,10,8
"121",121,"xinghui",17191,"Singapore",163,24,7
"122",122,"lolbeast",17180.01,"Singapore",170,7,11
"123",123,"akqxolotl",17154.01,"Singapore",168,12,4
"124",124,"Fenixion",16837,"Singapore",165,12,7
"125",125,"wy",16801,"Singapore",164,14,10
"126",126,"rs",16671.8,"Singapore",162,12,1
"127",127,"ainunnajib",16494,"Singapore",164,8,4
"128",128,"hwy",16481.69,"Singapore",162,8,8
"129",129,"aryan12",16378,"India",158,14,0
"130",130,"bebecanvas",16247,"Singapore",157,16,17
"131",131,"Sealions",16113,"Singapore",161,1,13
"132",132,"CS24B",16103,"Singapore",156,14,7
"133",133,"begitable",15931,"Singapore",157,10,14
"134",134,"dragons",15828.23,"Singapore",156,13,13
"135",135,"codingisfun",15810,"Singapore",153,13,2
"136",136,"yuhong",15744,"Singapore",154,9,4
"137",137,"limmingyao21",15646.16,"Singapore",153,6,4
"138",138,"YEethui",15515.84,"Singapore",152,13,18
"139",139,"yhkhoo",15451.01,"Singapore",148,30,15
"140",140,"bisp",15405,"China",149,14,17
"141",141,"gelastropod",15401.45,"Singapore",145,29,14
"142",142,"ak2006",15196,"India",147,9,14
"143",143,"Popsicled",15101,"Singapore",146,10,12
"144",144,"SheepHeads",14980.1,"Singapore",142,22,24
"145",145,"Pyrros",14886,"Singapore",146,8,6
"146",146,"penguin",14884,"Singapore",146,13,16
"147",147,"quekyp",14711.26,"Singapore",141,22,9
"148",148,"Lucas",14500.94,"Singapore",139,16,19
"149",149,"windreaper",14434,"India",144,2,4
"150",150,"dieunq1309",14420,"Singapore",142,10,11
"151",151,"Bulbasheen",14400,"Singapore",144,0,0
"152",152,"awesomeyy22",14258,"Singapore",138,17,2
"153",153,"Sandman",14112,"Singapore",139,9,8
"154",154,"nothing",14009,"Singapore",139,3,3
"155",155,"Jaden450",13854,"Singapore",135,7,3
"156",156,"Bn",13767.33,"Singapore",133,14,10
"157",157,"InfinityIntegral",13745,"Singapore",129,25,11
"158",158,"avaneeshk098",13667,"India",136,3,4
"159",159,"pmn",13648.98,"Singapore",128,19,9
"160",160,"ldminh4354",13577,"Singapore",123,34,8
"161",161,"usernamehere",13455.47,"Singapore",131,12,11
"162",162,"Hytoh",13425,"Singapore",129,17,19
"163",163,"gyheva",13406,"Singapore",130,8,8
"164",164,"ian",13376,"Singapore",127,19,9
"165",165,"luoxindi09",13325.36,"Singapore",125,22,12
"166",166,"horse3903",13293.49,"Singapore",132,4,12
"167",167,"yisio001",13100,"Singapore",131,0,1
"168",168,"Mimikyu",13061,"Singapore",130,5,12
"169",169,"astoria",13013,"Singapore",128,4,1
"170",170,"zeroesandones",12972,"India",129,4,3
"171",171,"cri",12950,"United States",129,1,2
"172",172,"TheInvadr",12942,"Singapore",127,8,9
"173",173,"yeetmaster",12826.56,"Singapore",123,26,10
"174",174,"Huoi",12680,"Singapore",124,9,3
"175",175,"kai824",12640,"Singapore",124,8,13
"176",176,"ceggyweggy",12541,"Singapore",120,19,15
"177",177,"popperoni",12488,"Singapore",119,22,14
"178",178,"SweeKang",12484.49,"Singapore",119,14,7
"179",179,"Damian",12400,"Singapore",124,0,0
"180",180,"Schzeey",12347,"Singapore",120,11,13
"181",181,"f0restf1re",12267.74,"Singapore",118,16,24
"182",182,"ecxx",12242.17,"Singapore",113,26,7
"183",183,"FreedomhawksBANANAA",12165,"Singapore",120,5,11
"184",184,"Eugene",12142,"Singapore",119,13,15
"185",185,"lty748",12118,"Singapore",119,7,12
"186",186,"Aarush",12113,"Singapore",120,3,6
"187",187,"a",12010,"Singapore",119,4,3
"188",188,"Fibohyan",11982.02,"Singapore",118,5,11
"189",189,"SJY123",11907,"Singapore",118,3,7
"190",190,"jmuzhen",11891.4,"Singapore",114,17,17
"191",191,"Lsc111",11888,"Singapore",115,18,8
"192",192,"Sandarach151",11840.01,"Singapore",109,22,9
"193",193,"Qingyuan",11800,"Singapore",118,0,6
"194",194,"Tqin",11771,"Singapore",115,9,3
"195",195,"sichomohit",11756,"India",113,14,8
"196",196,"chenxi8833",11588,"Singapore",114,8,7
"197",197,"oiu890",11585.54,"Singapore",114,8,14
"198",198,"lithops",11507,"Singapore",105,34,8
"199",199,"astranger",11475,"Singapore",112,10,13
"200",200,"sumitkk10",11413,"India",109,16,4
"201",201,"hariaakash646",11373,"India",111,10,4
"202",202,"crapthecoder",11300,"India",113,0,1
"203",203,"NovaNocte0729",11196,"Singapore",106,17,17
"204",204,"matt",11188.69,"Singapore",109,9,6
"205",205,"devomega07",11167,"Singapore",109,7,10
"206",206,"Cadenloi",11153.5,"Singapore",105,27,16
"207",207,"ZhongDing",11150,"Singapore",110,9,10
"208",208,"NgMinSong123",11103,"Singapore",108,11,8
"209",209,"qquesso",11081,"Singapore",105,18,6
"210",210,"AltheaZ",11066.51,"Singapore",107,10,18
"211",211,"Shuhxin",11002.28,"Singapore",106,13,26
"212",212,"ngmh",10975,"Singapore",106,15,2
"213",213,"CedricKhua",10962,"Singapore",108,5,3
"214",214,"Srivatsav",10898,"India",103,11,12
"215",215,"avner21",10672.72,"Singapore",104,10,8
"216",216,"jianxiang",10649,"Singapore",105,6,5
"217",217,"benchew23",10641.96,"Singapore",105,5,10
"218",218,"Tracxr",10624,"Singapore",103,12,9
"219",219,"ryansoh",10582,"Singapore",104,6,2
"220",220,"2110100",10561,"Singapore",103,6,20
"221",221,"BryanPak",10543,"Singapore",102,8,8
"222",222,"DoubleShaurya",10516,"Singapore",104,3,15
"223",223,"isaackhong",10320,"Singapore",102,5,1
"224",224,"mertbbm",10214,"Singapore",102,1,2
"225",225,"edwinkoon",10171,"Singapore",97,17,18
"226",226,"GenericUsername",10170,"Singapore",99,8,6
"227",227,"YongXin",10136,"Singapore",99,12,7
"228",228,"tanminmin",10115,"Singapore",99,9,19
