Data Series,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
All Items,98.474,99.483,98.963,98.436,99.004,99.438,100,99.818,102.119
  Food,89.456,92.059,93.833,95.759,97.104,98.498,100,101.862,103.326
  Food Excl Food Serving Services,90.388,93.058,94.198,96.366,97.608,98.87,100,102.898,104.546
    Bread & Cereals,92.669,94.121,95.333,96.535,97.127,98.501,100,101.93,102.592
      Rice,na,95.516,94.643,95.374,94.898,96.202,100,101.754,99.802
      Flour,na,101.634,100.74,101.847,102.175,100.188,100.001,97.863,95.925
      Bread,na,93.19,95.008,96.759,97.328,98.919,100,101.012,102.135
      Noodles & Pasta,na,100.33,99.086,100.089,100.159,100.67,100,102.042,103.317
      Biscuits & Cookies,na,92.728,94.159,96.104,97.186,98.736,100,104.24,104.667
      Cakes & Pastries,na,91.787,94.545,95.252,96.653,98.54,100,102.306,103.838
      Other Cereals,na,97.911,98.213,99.544,99.24,99.109,100,101.159,102.45
    Meat,95.087,96.707,97.342,99.383,99.943,99.855,100,105.503,105.841
"      Pork, Chilled",na,96.041,96.718,100.085,100.08,100.212,100,107.985,107.009
"      Beef, Chilled",na,93.536,95.564,97.595,100.178,100.004,100,103.407,108.39
"      Mutton, Chilled",na,91.812,93.632,94.131,94.168,95.229,100,110.144,108.786
"      Poultry, Chilled",na,96.424,96.117,99.556,100.491,100.007,100,101.46,102.97
"      Meat, Frozen",na,104.991,104.769,103.203,102.165,100.449,100,107.535,105.366
      Meat Preparations,na,95.266,96.754,97.456,98.63,99.392,100,105.441,106.355
    Fish & Seafood,86.145,88.589,89.887,93.814,96.172,98.666,100,100.992,101.492
"      Fish, Chilled",na,86.437,88.355,92.772,95.837,98.568,100,100.857,101.197
"      Fish, Frozen",na,82.119,86.741,93.846,99.082,101.341,100,100.026,101.008
      Other Seafood,na,91.483,92.192,95.273,96.861,98.789,100,99.794,100.731
      Seafood Preparations,na,92.315,92.164,95.277,96.16,98.577,100,103.104,103.522
"    Milk, Cheese & Eggs",89.462,94.022,95.865,97.448,98.013,99.573,100,101.928,103.461
      Formula Milk Powder,na,90.735,95.048,98.409,99.654,100.023,100,100.141,100.478
      Other Milk & Dairy Products,na,96.396,95.953,96.813,97.577,100.092,100,104.039,105.259
      Eggs,na,96.578,98.296,96.491,94.05,96.193,100,99.79,104.933
    Oils & Fats,97.353,97.932,97.441,95.998,96.15,99.374,100,101.78,103.02
      Butter & Other Fats,na,90.072,90.541,90.168,92.443,99.317,100,100.242,102.098
      Cooking Oils,na,101.978,100.993,98.999,98.059,99.405,100,102.395,103.389
    Fruits,83.409,89.783,91.406,93.625,96.136,98.005,100,101.689,104.434
"      Tropical Fruits, Fresh",na,85.826,87.125,90.917,93.481,96.469,100,103.151,103.218
"      Citrus, Berries & Other Fruits, Fresh",na,91.779,94.029,94.765,97.388,98.73,100,100.935,106.117
      Preserved Fruits & Nuts,na,93.993,94.338,97.294,99.264,99.814,100,100.794,101.3
    Vegetables,89.133,92.171,93.041,96.736,98.177,98.052,100,105.019,110.43
"      Leafy Vegetables, Fresh",na,91.289,92.219,97.666,97.597,97.526,100,103.743,113.188
"      Fruit Vegetables, Fresh",na,90.394,92.187,94.781,96.076,97.02,100,106.288,114.528
"      Root Vegetables, Fresh",na,89.39,90.652,96.274,99.623,98.642,100,105.685,106.231
      Other Vegetables & Preparations,na,96.341,96.236,97.306,99.29,98.961,100,105.582,106.552
"    Sugar, Preserves & Confectionery",94.909,94.388,95.243,96.865,98.759,100.181,100,105.213,105.882
      Sugar,na,97.547,96.481,96.309,99.863,100.373,100,100.723,101.652
      Confectionery & Ice-Cream,na,94.555,95.663,97.46,99.154,100.647,100,106.464,106.908
      Sugar Preserves & Spread,na,91.891,92.751,94.634,96.444,98.082,100,102.506,103.881
    Non-Alcoholic Beverages,95.432,96.419,96.721,96.889,97.345,98.465,100,103.585,105.289
      Coffee & Tea,na,97.25,97.196,97.962,97.797,99.265,100,101.013,103.186
      Soft Drinks,na,96.573,96.633,95.916,96.135,96.831,100,105.618,106.865
      Other Beverages,na,95.512,96.368,96.803,98.05,99.245,100,104.937,106.472
    Other Food,90.992,93.136,94.855,96.837,97.946,99.624,100,101.288,102.832
  Food Serving Services,88.95,91.512,93.632,95.427,96.828,98.294,100,101.367,102.744
    Restaurant Food,88.372,90.469,93.36,95.503,96.598,98.238,100,101.493,102.659
    Fast Food,90.252,93.404,94.964,97.082,98.167,98.428,100,101.371,102.992
    Hawker Food,89.218,91.948,93.692,95.263,96.88,98.372,100,101.275,102.785
      Hawker Centres,na,na,na,na,na,na,100,101.636,103.01
      Food Courts & Coffee Shops,na,na,na,na,na,na,100,101.184,102.728
    Catered Food,90.709,91.875,92.073,92.735,94.331,95.345,100,101.644,102.329
  Clothing & Footwear,99.267,98.468,98.528,98.744,99.345,100.777,100,96.16,90.845
    Clothing,100.662,99.269,98.909,99.827,100.053,101.162,100,96.312,90.942
"      Men's Clothing",na,100.982,101.799,102.508,100.77,101.585,100,95.55,92.318
"      Women's Clothing",na,98.385,97.106,98.203,99.575,100.718,100,96.449,90.293
"      Children's Clothing",na,99.741,101.276,101.779,100.796,102.426,100,97.381,91.084
    Other Articles & Related Services,96.009,98.303,98.44,98.548,99.771,100.608,100.001,99.275,96.656
    Footwear,95.272,95.869,97.296,95.224,96.927,99.547,100,95.048,89.359
"      Men's Footwear",na,94.4,94.593,95.147,96.796,98.726,100,94.546,89.885
"      Women's Footwear",na,96.787,99.388,95.039,97.164,100.713,100,94.713,87.842
"      Children's Footwear",na,97.535,97.935,95.734,95.58,96.704,100,99.651,96.204
  Housing & Utilities,113.388,113.517,109.499,105.034,102.372,101.003,100,99.714,101.1
    Accommodation,115.04,115.441,112.425,108.481,104.145,100.951,100,100.392,101.841
    Utilities & Other Fuels,103.325,102.015,92.003,84.422,91.772,101.313,100,94.523,95.432
      Water Supply,na,75.744,75.744,75.744,81.463,93.591,100,100,100
      Refuse Collection,na,75.032,90.722,90.722,100,100,100,100,100
      Electricity,na,118.857,100.938,87.784,95.935,105.92,100,90.78,91.382
      Gas,na,103.791,92.534,88.499,95.26,99.96,100,96.344,102.044
  Household Durables & Services,94.608,96.275,95.689,97.419,98.45,99.227,100,100.285,101.766
    Household Durables,100.347,101.057,101.603,101.902,100.815,100.428,100,99.956,101.576
      Furniture,na,97.784,98.945,100.216,99.624,99.589,100,100.438,102.634
      Furnishings,na,99.356,99.085,98.668,97.947,98.514,100,99.848,102.818
      Other Household Textiles,na,104.165,106.283,104.823,103.222,101.623,100,99.228,97.227
      Household Appliances,na,104.363,104.412,104.549,102.44,101.409,100,99.191,101.315
      Utensils & Others,na,99.798,98.931,98.831,98.905,99.724,100,101.588,101.532
    Household Services & Supplies,91.633,93.599,92.38,94.911,97.125,98.555,100,100.507,101.894
      Non-Durable Household Goods,na,101.237,100.393,99.71,99.522,100.111,100,100.969,99.974
      Domestic & Household Services,na,92.151,90.862,94.001,96.671,98.26,100,100.428,102.222
  Health Care,91.117,93.64,93.56,94.566,96.924,98.905,100,98.463,99.579
    Medicines & Health Products,99.257,100.061,100.897,100.841,100.731,100.924,100,98.581,98.605
      Medicines & Vitamins,na,99.729,100.788,100.942,100.913,101.266,100,98.091,98.386
      Medical Products,na,101.251,101.291,100.484,100.084,99.707,100,100.12,99.291
    Outpatient Services,93.514,95.523,91.819,94.401,96.725,98.476,100,96.486,96.811
      Fees At Polyclinics,na,175.939,95.836,97.62,99.535,100.181,100,89.059,88.619
      Fees At General Practitioners (GP) Clinics,na,95.364,93.051,94.985,97.166,99.142,100,77.558,73.305
      Fees At Specialist Outpatient Clinics,na,92.923,91.07,93.754,95.852,97.732,100,99.837,100.379
      Dental Services,na,96.751,95.719,97.164,98.54,99.995,100,95.19,97.371
      Paramedical Services,na,87.351,88.897,92.767,96.321,97.977,100,101.057,101.942
    Hospital Services,82.901,87.347,90.061,90.345,94.333,97.902,100,101.485,102.998
    Health Insurance,95.086,97.465,97.417,97.92,99.507,99.943,100,100.009,104.904
  Transport,102.32,101.073,99.62,97.228,99.756,99.235,100,99.27,108.055
