Data Series,All Items (Index),All Items -> Food (Index),All Items -> Food Excl Food Serving Services (Index),All Items -> Food Excl Food Serving Services -> Bread & Cereals (Index),All Items -> Food Excl Food Serving Services -> Meat (Index),All Items -> Food Excl Food Serving Services -> Fish & Seafood (Index),"All Items -> Food Excl Food Serving Services -> Milk, Cheese & Eggs (Index)",All Items -> Food Excl Food Serving Services -> Oils & Fats (Index),All Items -> Food Excl Food Serving Services -> Fruits (Index),All Items -> Food Excl Food Serving Services -> Vegetables (Index),"All Items -> Food Excl Food Serving Services -> Sugar, Preserves & Confectionery (Index)",All Items -> Food Excl Food Serving Services -> Non-Alcoholic Beverages (Index),All Items -> Food Excl Food Serving Services -> Other Food (Index),All Items -> Food Serving Services (Index),All Items -> Food Serving Services -> Restaurant Food (Index),All Items -> Food Serving Services -> Fast Food (Index),All Items -> Food Serving Services -> Hawker Food (Index),All Items -> Food Serving Services -> Catered Food (Index),All Items -> Clothing & Footwear (Index),All Items -> Clothing & Footwear -> Clothing (Index),All Items -> Clothing & Footwear -> Other Articles & Related Services (Index),All Items -> Clothing & Footwear -> Footwear (Index),All Items -> Housing & Utilities (Index),All Items -> Housing & Utilities -> Accommodation (Index),All Items -> Housing & Utilities -> Utilities & Other Fuels (Index),All Items -> Household Durables & Services (Index),All Items -> Household Durables & Services -> Household Durables (Index),All Items -> Household Durables & Services -> Household Services & Supplies (Index),All Items -> Health Care (Index),All Items -> Health Care -> Medicines & Health Products (Index),All Items -> Health Care -> Outpatient Services (Index),All Items -> Health Care -> Hospital Services (Index),All Items -> Health Care -> Health Insurance (Index),All Items -> Transport (Index),All Items -> Transport -> Private Transport (Index),All Items -> Transport -> Public Transport (Index),All Items -> Transport -> Other Transport Services (Index),All Items -> Communication (Index),All Items -> Communication -> Postage & Courier Services (Index),All Items -> Communication -> Telecommunication Equipment (Index),All Items -> Communication -> Telecommunication Services (Index),All Items -> Recreation & Culture (Index),All Items -> Recreation & Culture -> Recreational & Cultural Goods (Index),All Items -> Recreation & Culture -> Recreational & Cultural Services (Index),"All Items -> Recreation & Culture -> Newspapers, Books & Stationery (Index)",All Items -> Recreation & Culture -> Holiday Expenses (Index),All Items -> Education (Index),All Items -> Education -> Tuition & Other Fees (Index),All Items -> Education -> Textbooks & Study Guides (Index),All Items -> Miscellaneous Goods & Services (Index),All Items -> Miscellaneous Goods & Services -> Personal Care (Index),All Items -> Miscellaneous Goods & Services -> Alcoholic Drinks & Tobacco (Index),All Items -> Miscellaneous Goods & Services -> Personal Effects (Index),All Items -> Miscellaneous Goods & Services -> Social Services (Index),All Items -> Miscellaneous Goods & Services -> Other Miscellaneous Services (Index),All Items Less Imputed Rentals On Owner-Occupied Accommodation (Index),All Items Less Accommodation (Index)
  2013 Jan,98.1,88.5,89.3,91.9,94.2,84.7,87.6,97.1,82.1,89.3,95.2,94.2,90.7,88,87.4,89.7,88.2,90.4,99.2,100.4,96.5,95.7,111.9,113.2,103.4,91.7,100.2,87.8,89.2,99.1,92.4,80.8,89,104.6,106.3,96.8,100.5,101.9,91.9,117.5,101.3,94,103.8,91.9,92.3,92.1,82.3,82,96.6,97,101,87.9,98.2,na,na,94.5,94.3
  2013 Feb,98.9,88.7,90,91.9,94.5,85.9,87.9,97.2,82.6,90.4,95.8,94.4,90.6,88.1,87.4,89.7,88.3,90.4,99.2,100.9,97,94.3,112.3,113.7,103.3,94.8,100,92,89.7,99,92.6,81.3,89,108.2,110.9,96.9,100,101.8,91.9,116.5,101.3,94.1,103.5,92.4,92.3,92.2,82.5,82.2,96.6,96.9,101.1,87.6,98.4,na,na,95.5,95.3
  2013 Mar,98.4,88.6,89.5,92.1,94.3,84.9,88.4,97,83,87.5,95.1,95.2,90.9,88.2,87.6,89.7,88.4,90.4,100,101.5,96.5,95.2,112.5,114,103.3,93,100,89.6,90.3,99.4,92.8,81.8,92.4,105.1,107,96.8,101.7,101.9,91.9,117.8,101.3,94.3,103.6,92.4,92.3,92.2,82.7,82.5,96.6,97.1,101.3,88.2,99,na,na,94.9,94.6
  2013 Apr,97.7,88.8,89.6,92.4,94.5,85.1,88.7,96.6,83.4,87.1,95.5,95.5,90.8,88.4,87.6,90,88.7,90.7,98.8,100.7,96.2,94.1,113.2,114.8,104.2,94.3,99.8,91.4,90.3,99.1,93,82.3,92.5,99.5,100,96.8,101.4,101.9,91.9,117,101.1,93.3,103.1,92.5,92.3,90.5,82.9,82.7,96.6,97,101.1,88.5,98.6,na,na,93.8,93.5
  2013 May,97.3,89.1,90.1,92.5,94.6,86.2,89,96.2,82.5,89.6,94,95,90.7,88.6,87.9,90,88.9,90.7,99.2,100.6,96.5,94.7,113.3,114.8,104.1,94.5,100,91.6,90.9,98.2,93.2,82.8,95.9,97.1,97,96.8,101.9,101.6,91.9,111.9,101.3,93.9,103.2,92.5,92.3,91.7,83.2,82.9,96.6,97.5,101.2,88.5,100.5,na,na,93.5,93.1
  2013 Jun,97.5,89.2,90.2,92.8,95,85.4,89.2,97,82.7,88.9,95.4,96.1,91.4,88.7,88.1,90,89,90.7,98.9,100,95.8,96.1,113.6,115,104.1,94.8,100.4,91.9,91.3,98.7,93.3,83,97.4,98,98,96.8,102.1,101.6,91.9,112,101.3,94.2,102.9,92.9,92.3,92.1,83.4,83.2,96.6,97.4,101.2,88.6,98.4,na,na,93.6,93.3
  2013 Jul,98.3,89.5,90.6,92.9,95.3,86,89.6,97.4,82.9,89.2,95.4,95.7,91,88.9,88.4,90,89.2,90.8,99.6,100.9,97.7,95.3,113.7,115.6,102.3,95.1,100.7,92.1,91.4,99.6,93.6,83.1,97.5,101,101.9,96.9,102.1,101.6,91.9,111.8,101.1,93.9,102.6,93.1,92.4,91.8,83.4,83.2,96.6,97.1,101.2,88.5,97.3,na,na,94.3,94
  2013 Aug,98.6,89.8,90.7,92.4,95.4,86.1,90.2,97.8,83.1,88.5,94.8,95.9,91,89.4,88.8,90,89.8,90.9,99.3,100.9,94.7,94.8,113.6,115.6,102.4,95.2,100.7,92.3,91.6,99.7,93.8,83.4,97.4,101.5,102.4,96.9,102.8,101.5,91.9,114.1,101,95,102.7,95.4,92.4,92.5,83.9,83.8,97,97.2,101.1,88.4,98.4,na,na,94.8,94.4
  2013 Sep,98.7,90,90.8,92.7,95.9,87.1,89.8,97.7,83.5,88.8,95.4,95.6,91.1,89.4,89,90,89.8,90.9,98.7,100,94.3,95,113.9,115.8,102.5,95.1,100.7,92.2,91.9,99.5,94,83.6,97.4,101.9,103,96.9,102.7,101.4,91.9,115.8,100.8,95.5,102.8,95.7,92.4,93.2,84.1,84,97,97.3,100.9,88.2,99.2,na,na,94.9,94.6
  2013 Oct,99.3,90.2,91,93.4,95.7,86.9,90.7,98.2,85.1,88.6,94.4,95.7,91.1,89.8,89.2,91,90,90.9,98.9,100.1,95.4,96.2,114.2,116.1,103.1,95.4,100.4,92.6,92,99.8,94.2,83.8,97.5,103.8,105.3,97.1,102.4,101.6,91.9,121.5,100.7,95.2,103,94.8,92.5,93.1,84.6,84.4,97,97.2,101.3,88.1,98.3,na,na,95.5,95.2
