"","Station","Freq"
"46","DHOBY GHAUT MRT STATION",3
"7","BAYFRONT MRT STATION",2
"14","BISHAN MRT STATION",2
"17","BOTANIC GARDENS MRT STATION",2
"21","BUGIS MRT STATION",2
"27","BUONA VISTA MRT STATION",2
"33","CHINATOWN MRT STATION",2
"37","CITY HALL MRT STATION",2
"51","EXPO MRT STATION",2
"60","HARBOURFRONT MRT STATION",2
"68","JURONG EAST MRT STATION",2
"85","LITTLE INDIA MRT STATION",2
"87","MACPHERSON MRT STATION",2
"88","MARINA BAY MRT STATION",2
"95","NEWTON MRT STATION",2
"102","OUTRAM PARK MRT STATION",2
"105","PAYA LEBAR MRT STATION",2
"111","PROMENADE MRT STATION",2
"116","RAFFLES PLACE MRT STATION",2
"130","SERANGOON MRT STATION",2
"141","TAMPINES MRT STATION",2
"160","WOODLANDS MRT STATION",2
"1","ADMIRALTY MRT STATION",1
"2","ALJUNIED MRT STATION",1
"3","ANG MO KIO MRT STATION",1
"4","BAKAU LRT STATION",1
"5","BANGKIT LRT STATION",1
"6","BARTLEY MRT STATION",1
"8","BEAUTY WORLD MRT STATION",1
"9","BEDOK MRT STATION",1
"10","BEDOK NORTH MRT STATION",1
"11","BEDOK RESERVOIR MRT STATION",1
"12","BENCOOLEN MRT STATION",1
"13","BENDEMEER MRT STATION",1
"15","BOON KENG MRT STATION",1
"16","BOON LAY MRT STATION",1
"18","BRADDELL MRT STATION",1
"19","BRAS BASAH MRT STATION",1
"20","BUANGKOK MRT STATION",1
"22","BUKIT BATOK MRT STATION",1
"23","BUKIT BROWN MRT STATION",1
"24","BUKIT GOMBAK MRT STATION",1
"25","BUKIT PANJANG LRT STATION",1
"26","BUKIT PANJANG MRT STATION",1
"28","CALDECOTT MRT STATION",1
"29","CANBERRA MRT STATION",1
"30","CASHEW MRT STATION",1
"31","CHANGI AIRPORT MRT STATION",1
"32","CHENG LIM LRT STATION",1
"34","CHINESE GARDEN MRT STATION",1
"35","CHOA CHU KANG LRT STATION",1
"36","CHOA CHU KANG MRT STATION",1
"38","CLARKE QUAY MRT STATION",1
"39","CLEMENTI MRT STATION",1
"40","COMMONWEALTH MRT STATION",1
"41","COMPASSVALE LRT STATION",1
"42","CORAL EDGE LRT STATION",1
"43","COVE LRT STATION",1
"44","DAKOTA MRT STATION",1
"45","DAMAI LRT STATION",1
"47","DOVER MRT STATION",1
"48","DOWNTOWN MRT STATION",1
"49","ESPLANADE MRT STATION",1
"50","EUNOS MRT STATION",1
"52","FAJAR LRT STATION",1
"53","FARMWAY LRT STATION",1
"54","FARRER PARK MRT STATION",1
"55","FARRER ROAD MRT STATION",1
"56","FERNVALE LRT STATION",1
"57","FORT CANNING MRT STATION",1
"58","GEYLANG BAHRU MRT STATION",1
"59","GUL CIRCLE MRT STATION",1
"61","HAW PAR VILLA MRT STATION",1
"62","HILLVIEW MRT STATION",1
"63","HOLLAND VILLAGE MRT STATION",1
